display  D   display_settings.c:202  debug_display_settings           [   0.44319] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44321] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.44323] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44326] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.44328] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44331] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.44333] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44335] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.44338] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44340] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.44342] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.44344] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.44346] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.44349] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.44351] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44353] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.44355] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44357] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.44359] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44361] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.44363] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44365] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.44366] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44371] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.44373] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44376] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.44377] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.44380] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.44381] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.44383] Score is : 897
